number,manufacturer,flossId,description,red,green,blue
3863,DMC,DMC-3863,Mocha Beige Med,164,131,92
3862,DMC,DMC-3862,Mocha Beige Dark,138,110,78
3031,DMC,DMC-3031,Mocha Brown Vy Dk,75,60,42
B5200,DMC,DMC-B5200,Snow White,255,255,255
White,DMC,DMC-White,White,252,251,248
3865,DMC,DMC-3865,Winter White,249,247,241
ECRU,DMC,DMC-ECRU,Ecru,240,234,218
822,DMC,DMC-822,Beige Gray Light,231,226,211
644,DMC,DMC-644,Beige Gray Med,221,216,203
642,DMC,DMC-642,Beige Gray Dark,164,152,120
640,DMC,DMC-640,Beige Gray Vy Dk,133,123,97
3787,DMC,DMC-3787,Brown Gray Dark,98,93,80
3021,DMC,DMC-3021,Brown Gray Vy Dk,79,75,65
3024,DMC,DMC-3024,Brown Gray Vy Lt,235,234,231
3023,DMC,DMC-3023,Brown Gray Light,177,170,151
3022,DMC,DMC-3022,Brown Gray Med,142,144,120
535,DMC,DMC-535,Ash Gray Vy Lt,99,100,88
3033,DMC,DMC-3033,Mocha Brown Vy Lt,227,216,204
3782,DMC,DMC-3782,Mocha Brown Lt,210,188,166
3032,DMC,DMC-3032,Mocha Brown Med,179,159,139
3790,DMC,DMC-3790,Beige Gray Ult Dk,127,106,85
3781,DMC,DMC-3781,Mocha Brown Dk,107,87,67
3866,DMC,DMC-3866,Mocha Brn Ult Vy Lt,250,246,240
842,DMC,DMC-842,Beige Brown Vy Lt,209,186,161
841,DMC,DMC-841,Beige Brown Lt,182,155,126
840,DMC,DMC-840,Beige Brown Med,154,124,92
839,DMC,DMC-839,Beige Brown Dk,103,85,65
838,DMC,DMC-838,Beige Brown Vy Dk,89,73,55
3072,DMC,DMC-3072,Beaver Gray Vy Lt,230,232,232
648,DMC,DMC-648,Beaver Gray Lt,188,180,172
647,DMC,DMC-647,Beaver Gray Med,176,166,156
646,DMC,DMC-646,Beaver Gray Dk,135,125,115
645,DMC,DMC-645,Beaver Gray Vy Dk,110,101,92
844,DMC,DMC-844,Beaver Gray Ult Dk,72,72,72
762,DMC,DMC-762,Pearl Gray Vy Lt,236,236,236
415,DMC,DMC-415,Pearl Gray,211,211,214
318,DMC,DMC-318,Steel Gray Lt,171,171,171
414,DMC,DMC-414,Steel Gray Dk,140,140,140
168,DMC,DMC-168,Pewter Very Light,209,209,209
169,DMC,DMC-169,Pewter Light,132,132,132
317,DMC,DMC-317,Pewter Gray,108,108,108
413,DMC,DMC-413,Pewter Gray Dark,86,86,86
3799,DMC,DMC-3799,Pewter Gray Vy Dk,66,66,66
310,DMC,DMC-310,Black,0,0,0
